Place,CountryState,Popularity,Latitude,Longitude
VGP Universal Kingdom,Tamil Nadu(India),Tier II,12.91421061,80.25056176
VGP Marine Kingdom,Tamil Nadu(India),Tier II,12.91214518,80.25030357
Mayajaal Multiplex,Tamil Nadu(India),Tier I,12.8480088,80.23986826
The Madras Crocodile Bank Trust and Centre for Herpetology,Tamil Nadu(India),Tier III,12.74351095,80.23853003
Galle Lighthouse,Sri Lanka,Tier IV,6.024682124,80.21940044
Galle Dutch Fort,Sri Lanka,Tier III,6.030458901,80.21502096
Pandav Caves and Fall,Madhya Pradesh(India),Tier V,24.73068225,80.06655669
Wilpattu National Park,Sri Lanka,Tier V,8.458166328,80.05182945
Cinnamon Bentota Beach,Sri Lanka,Tier V,6.424911685,79.99686525
Panna National Park,Madhya Pradesh(India),Tier V,24.59047575,79.94167793
Balancing Rock,Madhya Pradesh(India),Tier V,23.14844568,79.90490404
Dehiwala Zoological Gardens,Sri Lanka,Tier III,6.85698143,79.8744012
Independence Square,Sri Lanka,Tier IV,6.904189359,79.86763195
Viharamahadevi Park,Sri Lanka,Tier III,6.913393192,79.8617289
Colombo National Museum,Sri Lanka,Tier V,6.910002631,79.86088977
"St. Anthony's Shrine, Kochchikade.",Sri Lanka,Tier V,6.946786416,79.85636071
Jami Ul-Alfar Mosque,Sri Lanka,Tier V,6.938401715,79.85168024
Karaikal Beach Park,Pondicherry,Tier V,10.91387595,79.85032754
Galle Face Green,Sri Lanka,Tier III,6.923789495,79.84493094
Serenity Beach Sunrise Point,Pondicherry,Tier IV,11.97036763,79.84451333
Ministry of Crab,Sri Lanka,Tier V,6.93361712,79.84335069
Nanda Devi National Park,Uttarakhand(India),Tier V,30.65873523,79.83864812
Rock Beach,Pondicherry,Tier II,11.93389838,79.83618847
"Rock Beach",Pondicherry,Tier II,11.93388496,79.83617958
Puducherry Museum,Pondicherry,Tier IV,11.93446741,79.83484778
Bharathi Park Puducherry,Pondicherry,Tier IV,11.93295615,79.8341916
Eden Beach - Blue flag Beach,Pondicherry,Tier IV,11.88161819,79.82417715
Botanical Garden,Pondicherry,Tier III,11.93022425,79.82241078
Paradise Beach,Pondicherry,Tier II,11.87167078,79.81924174
Chunnambar Boat House,Pondicherry,Tier IV,11.88383353,79.8006851
Pichavaram Mangrove Forest,Tamil Nadu(India),Tier III,11.43196243,79.78103378
Valley of Flowers National Park,Uttarakhand(India),Tier V,30.72749512,79.607308
Nainital Lake,Uttarakhand(India),Tier IV,29.38596211,79.45994521
The Pahari Store,Uttarakhand(India),Tier V,29.39025296,79.45493481
Tadoba-Andhari Tiger Reserve,Maharashtra(India),Tier V,20.27181839,79.3875378
Dhanushkodi Beach,Tamil Nadu(India),Tier V,9.218040103,79.35411766
Pench National Park,Madhya Pradesh(India),Tier IV,21.74957434,79.33527566
Talakona Waterfall,Andhra Pradesh(India),Tier IV,13.81152232,79.21586019
Butterfly Conservatory,Goa,Tier IV,43.13698986,79.05566626
Jim Corbett National Park,Uttarakhand(India),Tier II,29.55212678,78.88318205
The Hidden Castle,Telangana(India),Tier III,17.92525217,78.81553368
Ramoji Film City,Telangana(India),Tier II,17.26412677,78.68182304
Pangong Tso,Laddakh(India),Tier IV,33.75582441,78.67851734
Pangong Lake,Laddakh(India),Tier IV,33.75896105,78.67647001
Cloud Forest Entertainment park,Tamil Nadu(India),Tier V,12.57756252,78.65246724
Fundera park - Birds park,Tamil Nadu(India),Tier II,12.56381829,78.6432033
Orchha Fort,Madhya Pradesh(India),Tier IV,25.35075279,78.6426691
Mahavir Harina Vanasthali National Park,Telangana(India),Tier IV,17.3411749,78.58491397
"Wonderla Amusement Park, Hyderabad",Telangana(India),Tier I,17.21725771,78.52847044
Kuntala Water Falls,Telangana(India),Tier IV,19.28465242,78.50323478
Snow World,Telangana(India),Tier III,17.4145364,78.48095947
Salar Jung Museum,Telangana(India),Tier I,17.37157735,78.48022882
Charminar,Telangana(India),Priority,17.36159421,78.47464058
Hussain Sagar,Telangana(India),Tier III,17.42393923,78.4738721
Lumbini Park,Telangana(India),Tier I,17.40935827,78.47201407
Chowmahalla Palace,Telangana(India),Tier II,17.35807333,78.47163923
NTR Gardens.,Telangana(India),Tier I,17.4131154,78.46975412
"Taj Falaknuma Palace, Hyderabad",Telangana(India),Tier III,17.3314387,78.46746839
Jalavihar Water Park,Telangana(India),Tier II,17.43293051,78.46474832
Nehru Zoological Park,Telangana(India),Tier I,17.3507139,78.4517839
Pandav Caves,Madhya Pradesh(India),Tier IV,22.45839355,78.43233438
Kasu Brahmanandha Reddy National Park,Telangana(India),Tier III,17.42006299,78.4230482
Bee Falls,Madhya Pradesh(India),Tier V,22.47511846,78.40725149
Jumpin Heights - The OG Bungy People!,Uttarakhand(India),Tier IV,30.06399807,78.40188552
Golconda Fort,Telangana(India),Priority,17.38331942,78.40104546
Inorbit Mall Cyberabad,Telangana(India),Priority,17.43356564,78.38649122
Shilparamam Art & Craft Village,Telangana(India),Priority,17.45255799,78.37828658
Kolli Hills,Tamil Nadu(India),Tier IV,11.24958888,78.33839376
Mrugavani National Park,Telangana(India),Tier IV,17.35403436,78.33516527
Tomb of Tansen,Madhya Pradesh(India),Tier V,26.23154293,78.17910087
Gwalior Fort,Madhya Pradesh(India),Tier II,26.23136981,78.16952022
Orvakallu Rock Gardens,Andhra Pradesh(India),Tier V,15.69288922,78.15212982
Belum Caves,Andhra Pradesh(India),Tier IV,15.10256898,78.11147287
Lal Tibba Scenic Point,Uttarakhand(India),Tier III,30.46668552,78.09497925
GUCCHUPANI ROBBERS CAVE,Uttarakhand(India),Tier IV,30.37540098,78.05985905
Company Garden,Uttarakhand(India),Tier V,30.46110463,78.0540627
Taj Mahal,Uttar Pradesh(India),Priority,27.17511628,78.04202118
Kempty Falls,Uttarakhand(India),Tier I,30.48781817,78.03668626
Agra Fort,Uttar Pradesh(India),Priority,27.17954639,78.02110429
"Forest Research Institute (FRI), Dehradun",Uttarakhand(India),Tier V,30.34391119,77.99764558
Tomb of Akbar,Bihar(India),Tier V,27.2205826,77.95045802
Dolphin Water Park,Uttar Pradesh(India),Tier V,27.23838601,77.86780714
Anantagiri Hills,Andhra Pradesh(India),Tier V,17.31175891,77.86359119
Gadwal Fort,Telangana(India),Tier V,16.23703057,77.79928347
Udayagiri Caves,Odisha(India),Tier V,23.53625869,77.77215153
Udaygiri Caves,Madhya Pradesh(India),Tier V,23.53628807,77.77215073
Sanchi Stupa No. 1,Madhya Pradesh(India),Tier IV,23.47937506,77.73966646
HAL Heritage Centre and Aerospace Museum,Hungary,Tier II,12.95464385,77.68090658
Rock Shelters of Bhimbetka,Madhya Pradesh(India),Tier IV,22.93955592,77.61245788
Visvesvaraya Industrial & Technological Museum,Karnataka(India),Tier III,12.97513051,77.59689896
UB City,Karnataka(India),Tier I,12.97157981,77.5959142
Leh Palace,Laddakh(India),Tier IV,34.16599536,77.58659471
Lalbagh Botanical Garden,Karnataka(India),Priority,12.94940518,77.58463724
Leh Main Market,Laddakh(India),Tier V,34.16359922,77.58391424
Bannerughatta Biological Park,Karnataka(India),Priority,12.79857766,77.56780502
Kanyakumari Beach,Tamil Nadu(India),Tier IV,8.086613194,77.5544024
Hall of Fame,Laddakh(India),Tier IV,34.13922817,77.54114945
The Grand Venice Mall,Uttar Pradesh(India),Tier II,28.45260459,77.52628905
Masti Zone Greater Noida | Snow Masti | Snow Park Delhi | Trampoline | Bowling | kids play | VR Games | Snow World,Delhi/NCR(India),Tier III,28.45370169,77.52566875
Keoladeo National Park,Rajasthan(India),Tier III,27.15954171,77.52182039
Silver Cascade Falls,Tamil Nadu(India),Tier V,10.24196165,77.51074685
Kodaikanal Lake,Tamil Nadu(India),Tier IV,10.23387068,77.48702137
DB City Mall,Madhya Pradesh(India),Tier II,23.23274499,77.43025398
Madhya Pradesh(India) Tribal Museum,Madhya Pradesh(India),Tier III,23.23444692,77.38318032
Jibhi Waterfall,Himachal Pradesh(India),Tier V,31.58631414,77.3527231
The Great Indian Palace,Uttar Pradesh(India),Priority,28.56754455,77.32618157
Worlds of Wonder,Delhi/NCR(India),Tier II,28.5635355,77.32462287
KidZania Delhi NCR,Uttar Pradesh(India),Tier IV,28.56475338,77.32204175
DLF Mall of India,Uttar Pradesh(India),Priority,28.56731584,77.32120803
Madame Tussauds Delhi,Delhi/NCR(India),Tier IV,28.56710924,77.321134
Barbeque Nation,Delhi/NCR(India),Tier III,28.58017535,77.31524873
Atlantic Water World,Delhi/NCR(India),Tier IV,28.54493385,77.30923803
"Crown Interiorz Mall",Haryana(India),Tier II,28.46958248,77.30685485
JUNGLE SAFARI INDIA,Madhya Pradesh(India),Tier V,28.62124716,77.28437946
Kufri Fun World,Himachal Pradesh(India),Tier IV,31.09416406,77.2780261
Akshardham Temple,Delhi/NCR(India),Tier II,28.61269624,77.27721592
Tughlaqabad Fort,Delhi/NCR(India),Tier III,28.51095872,77.2623628
Lotus Temple,Delhi/NCR(India),Tier I,28.55348255,77.25884786
Waste to Wonder Park,Delhi/NCR(India),Tier II,28.59273153,77.25696077
Indraprastha Park,Delhi/NCR(India),Tier IV,28.59669016,77.25460476
ISKCON Temple - Glory of India,Delhi/NCR(India),Tier II,28.556294,77.25390038
Humayun’s Tomb,Delhi/NCR(India),Tier II,28.5933091,77.25075232
Raj Ghat,Delhi/NCR(India),Tier II,28.64061538,77.24949638
Rohtang La,Himachal Pradesh(India),Tier IV,32.37176432,77.24652146
Isa Khan's Tomb,Delhi/NCR(India),Tier V,28.59230329,77.24619395
The National Zoological Park,Delhi/NCR(India),Tier II,28.60668924,77.24541936
Delhi Zoo,Delhi/NCR(India),Tier II,28.60674531,77.24538774
National Science Centre,Delhi/NCR(India),Tier III,28.61313873,77.24537405
Sunder Nursery,Delhi/NCR(India),Tier III,28.59560897,77.24512618
Feroz Shah Kotla Stadium,Delhi/NCR(India),Tier III,28.63866049,77.24439781
Pragati Maidan,Delhi/NCR(India),Tier I,28.61899086,77.2441224
Purana Qila,Delhi/NCR(India),Tier II,28.60960108,77.2437273
Feroz Shah Kotla Fort,Delhi/NCR(India),Tier I,28.63501004,77.24265049
Crafts Museum,Delhi/NCR(India),Tier IV,28.61360575,77.2424542
Nizamuddin Dargah,Delhi/NCR(India),Tier III,28.59138795,77.24195644
Shankar's International Doll Museum,Delhi/NCR(India),Tier IV,28.630495,77.24148023
Red Fort,Delhi/NCR(India),Priority,28.65617079,77.24101367
Major Dhyan Chand National Stadium,Delhi/NCR(India),Tier V,28.61239942,77.2364658
Jahanpanah City Forest,Delhi/NCR(India),Tier V,28.53280317,77.23629049
National Gallery of Modern Art,Delhi/NCR(India),Tier IV,28.61018764,77.23439864
Jawaharlal Nehru Stadium,Delhi/NCR(India),Tier II,28.58291596,77.23439719
Karim Hotel,Delhi/NCR(India),Tier III,28.64949503,77.23375887
Jama Masjid,Delhi/NCR(India),Tier I,28.65067879,77.23344787
National War Memorial,Delhi/NCR(India),Tier III,28.61268909,77.23308241
Gurudwara Sis Ganj Sahib,Delhi/NCR(India),Tier I,28.65595726,77.2325063
Children's Park,Delhi/NCR(India),Tier V,28.61146835,77.23112571
India Gate,Delhi/NCR(India),Priority,28.61294003,77.22949125
Periyar National Park,Kerala(India),Tier III,9.463127199,77.22863034
Khan Market,Delhi/NCR(India),Tier I,28.60017198,77.22695283
Ghalib Ki Haveli,Delhi/NCR(India),Tier V,28.65429985,77.22559626
India Habitat Centre,Delhi/NCR(India),Tier I,28.58968187,77.22556662
Indian Habitat Centre,Delhi/NCR(India),Tier II,28.58968075,77.22550656
Agrasen ki Baoli,Delhi/NCR(India),Tier II,28.62608079,77.2250369
Fatehpuri Masjid,Delhi/NCR(India),Tier V,28.65667709,77.22279206
India International Centre,Delhi/NCR(India),Tier V,28.59361767,77.22271804
Farzi Cafe,Delhi/NCR(India),Tier IV,28.63259779,77.22149286
Lodhi Gardens,Delhi/NCR(India),Tier I,28.59332117,77.22095304
Khan Chacha - Connaught Place,Delhi/NCR(India),Tier V,28.63407648,77.22083963
South Extension Market,Delhi/NCR(India),Tier V,28.5679419,77.2199266
Hard Rock Café,Delhi/NCR(India),Tier V,28.62916077,77.21978163
National Museum Delhi,Delhi/NCR(India),Tier III,28.61191717,77.21928017
Select City Walk Mall,Delhi/NCR(India),Priority,28.5284661,77.2192153
Tamra - Shangri-La's,Delhi/NCR(India),Tier V,28.62097879,77.218162
Shangri-La Eros New Delhi,Delhi/NCR(India),Tier III,28.62102349,77.21814659
Museum of Illusions,Delhi/NCR(India),Tier III,28.63318972,77.2179489
Gandhi Smriti,Delhi/NCR(India),Tier V,28.60179199,77.2144006
Safdarjung’s Tomb,Delhi/NCR(India),Tier III,28.58953657,77.21052529
Parliament House,Delhi/NCR(India),Tier V,28.6172495,77.20819313
Dilli Haat,Delhi/NCR(India),Tier II,28.57339879,77.20750397
Indira Gandhi Memorial Museum,Delhi/NCR(India),Tier III,28.59992091,77.20613573
Rakab Ganj Gurudwara,Delhi/NCR(India),Tier IV,28.61821886,77.20477044
Jhandewalan Hanuman Temple,Delhi/NCR(India),Tier V,28.64914739,77.20415768
Champa Gali,Delhi/NCR(India),Tier IV,28.51735968,77.19978896
Roshanara Bagh,Delhi/NCR(India),Tier V,28.67251341,77.19963403
Rashtrapati Bhavan,Delhi/NCR(India),Tier IV,28.61439484,77.19943
Birla Mandir,Delhi/NCR(India),Tier III,28.63268588,77.19900738
Rose Cafe,Delhi/NCR(India),Tier V,28.51777745,77.19831347
Nehru Museum & Planetarium,Delhi/NCR(India),Tier V,28.60375507,77.1981096
Nehru Planetarium,Delhi/NCR(India),Tier V,28.60382471,77.19804938
The Garden of Five Senses,Delhi/NCR(India),Tier III,28.51339352,77.19750124
Rashtrapati Bhavan Musuem,Delhi/NCR(India),Tier V,28.61889792,77.19666287
Talkatora Garden,Delhi/NCR(India),Tier V,28.62337939,77.1950127
Hauz Khas Social,Delhi/NCR(India),Tier II,28.55449877,77.19415876
Hauz Khas Fort,Delhi/NCR(India),Tier V,28.55321031,77.19357052
Nehru Park Delhi,Delhi/NCR(India),Tier III,28.59100503,77.19319565
Deer Park Delhi,Delhi/NCR(India),Tier IV,28.5550456,77.19178417
Gyarah Murti,Delhi/NCR(India),Tier V,28.61002386,77.19168865
Tha Chanakya,Delhi/NCR(India),Tier IV,28.58451691,77.19073444
Hauz Khas District Park,Delhi/NCR(India),Tier III,28.55621146,77.19020147
Mehrauli Archaeological Park,Delhi/NCR(India),Tier V,28.52027518,77.18763037
Mughal Gardens,Delhi/NCR(India),Tier IV,28.52634097,77.18672626
Qutub Minar,Delhi/NCR(India),Priority,28.5245134,77.1855177
National Rail Museum,Delhi/NCR(India),Tier II,28.5850008,77.18142396
Chatarpur Mandir,Delhi/NCR(India),Tier III,28.50314555,77.180266
Chhatarpur Temple,Delhi/NCR(India),Tier III,28.50303175,77.17918531
Buddha Jayanti Park,Delhi/NCR(India),Tier V,28.6155403,77.1785544
The Ridge,Himachal Pradesh(India),Tier V,31.10478149,77.17482053
"Malai Mandir, New Delhi",Delhi/NCR(India),Tier IV,28.56762353,77.1657925
DLF Promenade Mall,Delhi/NCR(India),Tier II,28.54236831,77.15626726
8 Lakes,Kazakhstan,Tier V,43.50693992,77.15602493
Viceregal Lodge,Himachal Pradesh(India),Tier IV,31.10366186,77.14218801
Bharat Darshan Park,Delhi/NCR(India),Tier IV,28.66656998,77.13553561
Aanamalai Tiger Reserve,Tamil Nadu(India),Tier V,10.40907031,77.12826744
Mattupetty Dam,Kerala(India),Tier III,10.10601494,77.12433997
Japanese Park,Delhi/NCR(India),Tier III,28.72229976,77.11884819
Indian Air Force Museum,Delhi/NCR(India),Tier IV,28.57399573,77.1167105
Adventure Island,Delhi/NCR(India),Tier III,28.72469606,77.11453532
Metro Walk Mall,Delhi/NCR(India),Tier III,28.72502068,77.11312827
Kuno National Park,Madhya Pradesh(India),Tier V,25.74592549,77.10504537
Parashar Lake,Himachal Pradesh(India),Tier V,31.75456046,77.10106834
ISKATE by Roseate,Haryana(India),Tier V,28.50331702,77.09746328
Dilli Haat Janakpuri,Delhi/NCR(India),Tier III,28.6231726,77.09649525
Cyber Hub,Delhi/NCR(India),Tier I,28.4950471,77.08909928
Sahara Mall,Haryana(India),Tier II,28.47937337,77.08622941
Fun N Food Village,Delhi/NCR(India),Tier III,28.52372714,77.08470059
Plaza Premium Lounge,Delhi/NCR(India),Tier IV,28.55508535,77.0843362
Galleria Market,Haryana(India),Tier III,28.46722974,77.0819795
Sulabh International Museum of Tiolet,Delhi/NCR(India),Tier IV,28.59660073,77.08080726
Shymbulak,Kazakhstan,Tier III,43.12867002,77.08052066
MGF Metropolitan Mall,Haryana(India),Tier II,28.4809363,77.08027609
Appu Ghar,Delhi/NCR(India),Tier V,28.46153802,77.0712392
Kingdom of Dreams,Delhi/NCR(India),Tier II,28.46790408,77.06884369
Leisure Valley Park,Haryana(India),Tier III,28.46975167,77.06615889
Mojoland,Haryana(India),Tier V,29.07520505,77.06010611
Pacific Mall,Delhi/NCR(India),Tier IV,28.55239315,77.05786149
Eravikulam National Park,Kerala(India),Tier III,10.14537006,77.03659168
Noormahal Palace Hotel,Pakistan,Tier IV,29.69815739,77.03038801
MadhavGarh Farms,Haryana(India),Tier IV,28.34768836,77.02113968
Timber Trail Resort,Chandigarh(India),Tier V,30.83580628,76.98196139
Green Bazaar,Kazakhstan,Tier II,43.26421432,76.9547506
Heritage Transport Museum,Haryana(India),Tier V,28.25291145,76.9243143
Rangmanch Farms,Haryana(India),Tier IV,28.45559869,76.92341164
"Yadavindra Gardens, Pinjore",Chandigarh(India),Tier III,30.79417352,76.91415136
Tau Spa Center,Kazakhstan,Tier V,43.1183739,76.91322522
LuLu Mall Thiruvananthapuram,Kerala(India),Tier II,8.512526328,76.89713027
Funcity Water Park,Chandigarh(India),Tier IV,30.63672608,76.89203281
Sultanpur Bird Sanctuary,Haryana(India),Tier IV,28.46812335,76.89180404
Magic Planet,Kerala(India),Tier V,8.584452709,76.87950963
Jatayu Earth's Center,Kerala(India),Tier II,8.860833736,76.8664667
Cactus Garden,Chandigarh(India),Tier V,30.69807515,76.8506331
Hops n Grains The Microbrewery,Chandigarh(India),Tier V,30.69841385,76.84909631
DLF City Centre Mall,Chandigarh(India),Tier IV,30.72890604,76.84550437
Kurukshetra Panorama & Science Centre,Haryana(India),Tier III,29.96600086,76.83391772
Srikrishna Museum,Haryana(India),Tier IV,29.96510684,76.83313469
Garden of Silence,Chandigarh(India),Tier IV,30.73846187,76.83009156
Lake Reserved Forest,Chandigarh(India),Tier V,30.74583137,76.82737956
Kalagram,Chandigarh(India),Tier V,30.70991354,76.82630085
SkyJumper Trampoline Park - Chandigarh,Chandigarh(India),Tier II,30.65082653,76.82224711
Sukhna Lake,Chandigarh(India),Tier IV,30.74052292,76.81902349
Chandigarh Bird Park,Chandigarh(India),Tier V,30.74868157,76.81031417
Nek Chand’s Rock Garden of Chandigarh,Chandigarh(India),Tier I,30.75297875,76.80505331
Nexus Elante Mall,Chandigarh(India),Priority,30.70576998,76.80093553
Tagore Theatre,Chandigarh(India),Tier V,30.73311189,76.78957675
Government Museum and Art Gallery,Chandigarh(India),Tier V,30.74897633,76.78735081
"Japanese Garden, 31A Chandigarh",Chandigarh(India),Tier IV,30.70452579,76.78431579
Mahendra Chaudhary Zoological Park,Chandigarh(India),Tier II,30.74704919,76.78290968
Sector 17 Market,Chandigarh(India),Tier IV,30.73947096,76.78248695
Terraced Garden,Chandigarh(India),Tier IV,30.71442778,76.77161738
Children Traffic Park,Chandigarh(India),Tier V,30.74487457,76.76502303
Chandigarh Botanical Garden Sarangpur,Chandigarh(India),Tier V,30.77640269,76.75977228
"Garden of Fragrance, 36B Chandigarh",Chandigarh(India),Tier IV,30.7326431,76.7572289
I.S. Bindra Punjab Cricket Association Stadium,Chandigarh(India),Tier III,30.69090036,76.73752391
Doddabetta Peak,Tamil Nadu(India),Tier IV,11.40078461,76.73581683
Velliangiri Hills,Tamil Nadu(India),Tier V,10.9697063,76.72405681
Varkala cliff,Kerala(India),Tier IV,8.73553723,76.70388583
Varkala Beach,Kerala(India),Tier III,8.736348472,76.70240969
Governor's Palace,Dadra and Nagar Haveli and Daman and Diu(India),Tier V,37.27406422,76.70218459
VR Punjab,Punjab(India),Tier II,30.73777449,76.67920235
Fateh Burj - Baba Banda Singh Bahadur War Memorial,Chandigarh(India),Tier V,30.70373159,76.66833171
Sri Chamarajendra Zoological Gardens (Mysuru Zoo),Karnataka(India),Priority,12.30236768,76.66393059
Pykara Waterfall,Tamil Nadu(India),Tier III,11.47293684,76.60413165
Athirappilly Water Falls,Kerala(India),Tier III,10.28508301,76.56978743
Mudumalai Tiger Reserve,Tamil Nadu(India),Tier II,11.56295648,76.53435779
K2,Pakistan,Tier IV,35.88004738,76.51488971
Virasat-e-Khalsa,Punjab(India),Tier III,31.23415065,76.50752549
Bandipur National Park,Karnataka(India),Tier III,11.77876102,76.4646837
Ranthambore National Park,Rajasthan(India),Tier IV,26.02023961,76.45822649
Sariska Tiger Reserve,Rajasthan(India),Tier IV,27.31040364,76.43876914
"Neemrana Fort-Palace - 15th Century, Delhi-Jaipur Highway",Rajasthan(India),Tier III,27.99393258,76.38814787
Wayanad Wildlife Sanctuary,Kerala(India),Tier IV,11.67158414,76.36865283
"Wonderla Amusement Park, Kochi",Kerala(India),Tier II,9.984480497,76.33275135
"Himachal Pradesh Cricket Association Stadium, Dharamshala",Himachal Pradesh(India),Tier II,32.19688598,76.32577828
Alleppey Beach,Kerala(India),Tier II,9.492862747,76.31761206
Naddi View Point,Himachal Pradesh(India),Tier V,32.25311703,76.30289433
Kerala Folklore Museum,Kerala(India),Tier IV,9.932982642,76.29905404
Marari beach,Kerala(India),Tier III,9.600771253,76.2982585
Bhangarh Fort,Rajasthan(India),Tier III,27.09462952,76.291315
Kangra Fort,Himachal Pradesh(India),Tier IV,32.08752829,76.25418356
Edakkal Caves,Kerala(India),Tier III,11.62683108,76.23424789
Beas River,Himachal Pradesh(India),Tier IV,31.87903248,76.18649288
Cherai Beach,Kerala(India),Tier III,10.1438533,76.17745584
Manthokha Waterfall Resort,Pakistan,Tier V,35.06655305,75.99548571
Banasura Sagar Dam,Kerala(India),Tier III,11.67119478,75.95600211
Amber Palace,Rajasthan(India),Priority,26.98543342,75.85134796
Lal Bagh Palace,Madhya Pradesh(India),Tier IV,22.70006436,75.84706202
Hawa Mahal,Rajasthan(India),Priority,26.92405529,75.82670737
Jantar Mantar,Rajasthan(India),Tier II,26.92477154,75.82455597
Nahargarh Fort,India(India),Tier I,26.94013237,75.8170337
Bhadra Wildlife Sanctuary,Karnataka(India),Tier III,13.47857095,75.6172227
"Wonderland, Jalandhar",Punjab(India),Tier IV,31.26285459,75.53279163
Deosai National Park,Pakistan,Tier V,34.97051224,75.47182023
Pushpa Gujral Science City,Punjab(India),Tier V,31.35664857,75.4439418
Muzhappilangad Drive In Beach,Kerala(India),Tier IV,11.79635602,75.44254609
Baltal Base Camp,Kashmir(India),Tier V,34.25746934,75.41485564
Jahaz Mahal,Madhya Pradesh(India),Tier IV,22.35564675,75.39314948
Wadiy e Hajan,Kashmir(India),Tier III,34.05447846,75.36379928
Aru Valley,Kashmir(India),Tier V,34.08939821,75.26274249
Daulatabad Fort,Maharashtra(India),Tier III,19.94366239,75.22051975
Ellora Caves,Maharashtra(India),Tier I,20.02675499,75.17706861
"Wave Mall, Jammu",Jammu(India),Tier IV,32.70946292,74.89340735
Chashme Shahi Gardens,Kashmir(India),Tier IV,34.08602915,74.88775892
Jallianwala Bagh,Punjab(India),Tier I,31.62078475,74.88018207
The Partition Museum,Punjab(India),Tier III,31.62568429,74.87900519
Nishat Garden,Kashmir(India),Tier III,34.12462142,74.8788386
Tulip Garden,Kashmir(India),Tier III,34.09603815,74.87844472
Indira Gandhi Tulip Garden,Kashmir(India),Tier III,34.09604697,74.87844465
Pari Mahal,Kashmir(India),Tier IV,34.08117757,74.87712157
Sri Harmandir Sahib,Punjab(India),Priority,31.62000165,74.87654527
Dal Lake,Kashmir(India),Tier IV,34.11637483,74.86788379
Gobindgarh Fort,Punjab(India),Tier III,31.62688464,74.86004823
Ahdoos Restaurant,Kashmir(India),Tier V,34.07239906,74.81897421
Sadda Pind,Punjab(India),Tier III,31.6440043,74.81313756
Jama Masjid Mosque,Kashmir(India),Tier V,34.09838344,74.80978582
Jog Falls,Karnataka(India),Tier III,14.22415481,74.80925959
Aharbal Waterfall,Kashmir(India),Tier V,33.64908922,74.78342533
Akhnoor Fort,Jammu(India),Tier V,32.89574791,74.74038479
Altit Fort,Pakistan,Tier V,36.31726095,74.68117069
Baltit Fort,Pakistan,Tier IV,36.32562175,74.66976945
Hunza Valley,Pakistan,Tier V,36.3166624,74.64996662
"Chittorgarh Fort",Rajasthan(India),Tier II,24.88388538,74.64738734
Attari - Wagah Border,Punjab(India),Tier III,31.6048469,74.5741165
Osh Bazaar,Kazakhstan,Tier II,42.87495122,74.57025273
Gondola cable car ride,Kashmir(India),Tier V,34.04578918,74.38588302
Shalamar Gardens,Pakistan,Tier V,31.58432871,74.38278019
Wazir Khan Mosque,Pakistan,Tier IV,31.58328235,74.32360412
Lahore Fort,Pakistan,Tier II,31.58817199,74.31543702
Dudhsagar Falls,Goa,Tier II,15.31442699,74.31430821
Qutb-ud-Din Aibak's Tomb,Pakistan,Tier V,31.57476815,74.31360743
Minar-e-Pakistan,Pakistan,Tier III,31.59259019,74.30952027
Badshahi Mosque,Pakistan,Tier II,31.58796141,74.30944367
Lahore Museum,Pakistan,Tier IV,31.56838419,74.30808188
Emporium Mall,Pakistan,Tier I,31.46788474,74.26598745
Grand Jamia Masjid,Pakistan,Tier III,31.36798072,74.18530459
Harvalem Waterfalls,Goa,Tier IV,15.55081406,74.02649415
Palolem Beach,Goa,Tier II,15.01062588,74.02254954
Purandar Fort,Maharashtra(India),Tier IV,18.28249887,73.97347848
Cola Beach,Goa,Tier IV,15.05434323,73.97310967
Deer Land Hiran Minar,Pakistan,Tier IV,31.74308051,73.95523469
Colva Beach,Goa,Tier IV,15.27951959,73.91214176
Shivneri Fort,Maharashtra(India),Tier IV,19.19309486,73.85544976
Naval Aviation Museum,Goa,Tier IV,15.37472085,73.83880364
Deltin Royaleq,Goa,Tier II,15.50170082,73.8275579
Kaas plateau,Maharashtra(India),Tier V,17.72117785,73.82417127
Mapusa Municipal Market,Goa,Tier III,15.58834519,73.81279219
"Reis Magos Fort",Goa,Tier IV,15.49646152,73.80915743
Harishchandragad,Maharashtra(India),Tier V,19.38660135,73.77807141
Malshej Ghat,Maharashtra(India),Tier IV,19.34046242,73.77454953
"Aguada Fort",Goa,Priority,15.49221078,73.77374059
Sinq Night Club,Goa,Tier IV,15.50143039,73.77155352
Ramshej Fort,Maharashtra(India),Tier V,20.11218891,73.76733621
Candolim Beach,Goa,Tier II,15.51799545,73.7626181
Sinhagad Fort,Maharashtra(India),Tier I,18.36634062,73.75588644
"Calangute Beach",Goa,Tier II,15.54369357,73.75496049
"Club Titos",Goa,Tier III,15.55619423,73.75311892
Baga Beach,Goa,Tier II,15.55684231,73.7512558
Hill Top Goa,Goa,Tier IV,15.59318319,73.74238929
Curlies Beach Sack,Goa,Tier II,15.56942378,73.74217839
"Anjuna Beach",Goa,Tier III,15.5754592,73.74035352
Chapora Fort,Goa,Tier III,15.60457756,73.73693808
Morjim Beach,Goa,Tier IV,15.62720428,73.72792989
Statue Of Unity,Gujarat(India),Tier I,21.83831974,73.71922186
"Mandrem Beach",Goa,Tier IV,15.66964589,73.70953576
Kalsubai Peak,Maharashtra(India),Tier V,19.60129877,73.70915669
Koyna Wildlife Sanctuary,Maharashtra(India),Tier III,17.45076782,73.70781758
